configuration_id,library,library_version,model_family,model_class,task_type,adapter,environment,python_versions,status,prediction_parity,conformance,graph_validation,quality_gate,native_channels,derived_channels,surrogate_channels,missing_channels,api_checks,user_explanation_complete,artifact_sha256,report_path
adaboost_binary,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._weight_boosting.AdaBoostClassifier,binary_classification,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,e09d8c6b5c6b7265eb63ad8d9a9e2b0219af12d149379c872f1948db79db7611,core_reports/adaboost_binary.json
callable_black_box,python,,callable_black_box,__main__.CallableBenchmarkModel,binary_classification,callable,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""local_contributions"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,55752b7fd627bbfab77c9a1fef89845a117be3a10fcdf034d570d0f9cc13194f,core_reports/callable_black_box.json
elastic_net_regression,sklearn,1.8.0,sklearn_linear,sklearn.linear_model._coordinate_descent.ElasticNet,regression,sklearn_linear_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""coefficients""]","[""perturbation_counterfactual"", ""local_contributions""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,4978702a2b512cfa898e686ebb10ffd7a2d9da10873564b4485fadbd20544ef8,core_reports/elastic_net_regression.json
extra_trees_binary,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._forest.ExtraTreesClassifier,binary_classification,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,b324127ec14466a74721488300a2ee06f8b47ea75e00f8399fa25bfc19e82fcd,core_reports/extra_trees_binary.json
gaussian_nb_binary,sklearn,1.8.0,sklearn_naive_bayes,sklearn.naive_bayes.GaussianNB,binary_classification,sklearn_naive_bayes_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""class_priors""]","[""perturbation_counterfactual"", ""log_likelihood_terms""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,33bd8433d8cba65905ca4239977d93d2adda9ca00fb7d076880d038631171d38,core_reports/gaussian_nb_binary.json
gaussian_nb_multiclass,sklearn,1.8.0,sklearn_naive_bayes,sklearn.naive_bayes.GaussianNB,multiclass_classification,sklearn_naive_bayes_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""class_priors""]","[""perturbation_counterfactual"", ""log_likelihood_terms""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,5568fb37b7d6752e07aabd076bafdf00cb7214fb4ab3b93339f608706d514433,core_reports/gaussian_nb_multiclass.json
generic_predict_proba,python,,predict_proba_compatible,__main__.GenericProbaModel,binary_classification,predict_proba,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""local_contributions"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,ee7b39270e4ca286eb6f28eccb4abffbb2b4ab444ff963b8b8a4c0e38ed86943,core_reports/generic_predict_proba.json
gradient_boosting_binary,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._gb.GradientBoostingClassifier,binary_classification,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,145be8cae81bdae259f558ef974b0d75d8c680fad60344bae3b0fdf90b77cac0,core_reports/gradient_boosting_binary.json
gradient_boosting_regression,sklearn,1.8.0,sklearn_ensemble,sklearn.ensemble._gb.GradientBoostingRegressor,regression,sklearn_ensemble_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""ensemble_votes"", ""native_rules""]","[""perturbation_counterfactual"", ""ensemble_disagreement""]",[],"[""alignment"", ""counterfactuals"", ""reduction"", ""risk"", ""similar_cases"", ""training_history""]",{},True,7d0c48f8f9d44f60223e734b2718949ca3ef81962ae5c8de5faf5d097de4b40e,core_reports/gradient_boosting_regression.json
hist_gradient_boosting_binary,sklearn,1.8.0,sklearn_generic,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,binary_classification,sklearn_generic_v2,core-model-contracts,"[""3.11"", ""3.12""]",pass,1.0,1.0,1.0,pass,"[""prediction"", ""predict_proba"", ""decision_function""]","[""perturbation_counterfactual""]",[],"[""alignment"", ""counterfactuals"", ""local_contributions"", ""reduction"", ""risk"", ""rules"", ""similar_cases"", ""training_history""]",{},True,842a49c4647cbc56b413a3bfe5e3747efe88f2076811bd2d90080464089c71b1,core_reports/hist_gradient_boosting_binary.json
