method,parent_f1,leaf_f1,unknown_auroc,unknown_recall,abstention_accuracy
anomaly_detector,0.176330420969023,0.2200158856235107,0.6283223292295472,0.28125,0.7612412919569348
full_h10,0.6894360603653693,0.7180301826846703,0.7147128177124701,0.365625,0.83153894870171
hash_version,0.176330420969023,0.2200158856235107,0.5,0.0,0.7973400886637112
independent_if_else,0.744241461477363,0.6433677521842732,0.5,0.0,0.7973400886637112
schema_only,0.176330420969023,0.2200158856235107,0.5,0.0,0.7973400886637112
simple_or,0.176330420969023,0.2200158856235107,0.5,0.0,0.7973400886637112
typed_route,0.7196187450357426,0.2200158856235107,0.5,0.0,0.7973400886637112
untyped_graph,0.176330420969023,0.2200158856235107,0.5,0.0,0.7973400886637112
