method,cut_exact,cut_jaccard,cut_cost_ratio,extra_nodes,runtime_ms
anomaly_detector,0.0,0.0,0.0,0.0,0.0195489999441633
full_h10,0.9987333755541482,0.999366687777074,1.0015199493350222,0.0012666244458518,0.2953885000351874
hash_version,0.1139962001266624,0.2036098796706776,0.2585439621090393,0.0943635212159594,0.005697999995391
independent_if_else,0.4642178594046865,0.7343360776862994,1.635797757545513,0.8695376820772641,0.0153220000811415
schema_only,0.0899303356554781,0.1155794806839772,0.1475685656187972,0.0424319189360354,0.0094690000196351
simple_or,0.4642178594046865,0.7343360776862994,1.635797757545513,0.8695376820772641,0.0131494999777714
typed_route,0.0,0.0,0.0,0.0,0.0135400000544905
untyped_graph,0.7891070297656745,0.8336288790373654,1.0477600976170385,0.2197593413552881,0.0176610000721666
