held_repository,selected_variant,training_repositories,training_recall_r9a,training_recall_r9b,test_incidents,test_recall_at_20,ranker,model_sha256,feature_importances
AgentOps-AI/agentops,R9B,Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.6923076923076923,1,0.0,lightgbm_lambdamart,c169149b135579f344d5b4cc92d77b7f9de22c7645b0e8e42c9c9ac22a28ae0a,"{""best_rank_signal"":287,""callee"":1,""caller"":0,""channel_consensus"":111,""dynamic"":19,""executed"":23,""failing_test_frequency"":13,""frequency"":67,""last_touch"":124,""rank_bm25"":232,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":109,""rank_repograph"":182,""rank_runtime"":171,""rank_strict_identifier"":193,""traceback"":0}"
Flexget/Flexget,R9B,AgentOps-AI/agentops|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5128205128205128,0.8717948717948718,1,0.0,lightgbm_lambdamart,b4612f985c90fb1c0f4b4525a8a6b831550cab947db59e825fab01b0677ba3d1,"{""best_rank_signal"":253,""callee"":2,""caller"":0,""channel_consensus"":151,""dynamic"":17,""executed"":18,""failing_test_frequency"":3,""frequency"":75,""last_touch"":150,""rank_bm25"":276,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":121,""rank_repograph"":199,""rank_runtime"":126,""rank_strict_identifier"":223,""traceback"":0}"
Pyomo/pyomo,R9A,AgentOps-AI/agentops|Flexget/Flexget|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.4358974358974359,1,1.0,lightgbm_lambdamart,8b533c28bfdb1c41681577442be54d8f5e4cf1a9f5147aedf46151f576d19ee7,"{""best_rank_signal"":251,""callee"":0,""caller"":0,""channel_consensus"":188,""dynamic"":8,""executed"":27,""failing_test_frequency"":38,""frequency"":71,""last_touch"":121,""rank_bm25"":256,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":98,""rank_repograph"":159,""rank_runtime"":135,""rank_strict_identifier"":172,""traceback"":0}"
Textualize/textual,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5,0.42105263157894735,2,0.5,lightgbm_lambdamart,b6192fc5149c290da8349074b535f8cce45bc63f6897fc4b24a76d76141bf0e3,"{""best_rank_signal"":262,""callee"":0,""caller"":0,""channel_consensus"":123,""dynamic"":11,""executed"":17,""failing_test_frequency"":52,""frequency"":50,""last_touch"":121,""rank_bm25"":276,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":103,""rank_repograph"":182,""rank_runtime"":107,""rank_strict_identifier"":273,""traceback"":0}"
aws-cloudformation/cfn-lint,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5128205128205128,0.48717948717948717,1,0.0,lightgbm_lambdamart,96c6c5b1ef31c7d8a2751ccdef09acce6b90a27da354c68454d9ace8e654342a,"{""best_rank_signal"":308,""callee"":2,""caller"":0,""channel_consensus"":147,""dynamic"":23,""executed"":8,""failing_test_frequency"":53,""frequency"":52,""last_touch"":119,""rank_bm25"":266,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":114,""rank_repograph"":175,""rank_runtime"":120,""rank_strict_identifier"":214,""traceback"":0}"
beeware/briefcase,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|certbot/certbot|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.41025641025641024,1,1.0,lightgbm_lambdamart,1f3fa97ffae5b1d3e4416a4cf391be6894e6618fd01165ab27f6d5a586fcfaa6,"{""best_rank_signal"":298,""callee"":4,""caller"":0,""channel_consensus"":112,""dynamic"":10,""executed"":25,""failing_test_frequency"":46,""frequency"":43,""last_touch"":104,""rank_bm25"":281,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":115,""rank_repograph"":167,""rank_runtime"":103,""rank_strict_identifier"":200,""traceback"":0}"
certbot/certbot,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|dbcli/mycli|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.38461538461538464,1,1.0,lightgbm_lambdamart,eb2118e5d4128cee61f1ac042fbbf5d1061169a8d3b98605db8146e7c7d28fa0,"{""best_rank_signal"":236,""callee"":1,""caller"":0,""channel_consensus"":160,""dynamic"":13,""executed"":25,""failing_test_frequency"":50,""frequency"":57,""last_touch"":159,""rank_bm25"":263,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":101,""rank_repograph"":182,""rank_runtime"":128,""rank_strict_identifier"":193,""traceback"":0}"
dbcli/mycli,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|eventlet/eventlet|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.4358974358974359,1,1.0,lightgbm_lambdamart,4de6c8d671025a6f5bec329144532a978d58543c59d30bb92b0b63b7df7c87a8,"{""best_rank_signal"":263,""callee"":0,""caller"":0,""channel_consensus"":144,""dynamic"":8,""executed"":23,""failing_test_frequency"":42,""frequency"":77,""last_touch"":113,""rank_bm25"":284,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":106,""rank_repograph"":212,""rank_runtime"":116,""rank_strict_identifier"":199,""traceback"":0}"
eventlet/eventlet,R9A,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|falconry/falcon|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.5128205128205128,0.4358974358974359,1,0.0,lightgbm_lambdamart,6e8bab30e8543bb936c119256cd23d4eb919560f0fadad813a8392378aaa2054,"{""best_rank_signal"":303,""callee"":1,""caller"":0,""channel_consensus"":114,""dynamic"":26,""executed"":17,""failing_test_frequency"":52,""frequency"":39,""last_touch"":123,""rank_bm25"":284,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":124,""rank_repograph"":176,""rank_runtime"":92,""rank_strict_identifier"":223,""traceback"":0}"
falconry/falcon,R9B,AgentOps-AI/agentops|Flexget/Flexget|Pyomo/pyomo|Textualize/textual|aws-cloudformation/cfn-lint|beeware/briefcase|certbot/certbot|dbcli/mycli|eventlet/eventlet|gitpython-developers/GitPython|iterative/dvc|jlowin/fastmcp|koxudaxi/datamodel-code-generator|mesonbuild/meson|networkx/networkx|patroni/patroni|piskvorky/smart_open|py-pdf/pypdf|pyca/cryptography|pyinfra-dev/pyinfra|pymodbus-dev/pymodbus|pypa/twine|python/mypy|sissbruecker/linkding|slackapi/python-slack-sdk|sooperset/mcp-atlassian|stanfordnlp/dspy|tox-dev/tox|traceloop/openllmetry,0.48717948717948717,0.6410256410256411,1,1.0,lightgbm_lambdamart,ee31c9f5e00832dedb0e78088528f5b3647a1fcc8cf2ea60da887ddcf7c234e7,"{""best_rank_signal"":287,""callee"":1,""caller"":0,""channel_consensus"":177,""dynamic"":13,""executed"":29,""failing_test_frequency"":37,""frequency"":67,""last_touch"":113,""rank_bm25"":258,""rank_cross"":0,""rank_dense"":0,""rank_legacy"":124,""rank_repograph"":126,""rank_runtime"":152,""rank_strict_identifier"":227,""traceback"":0}"
