experiment,phase,formative_target_met,confirmatory_status,claim_allowed,source_file,sha256
H3_v2_selective,formative_only,false,not_run,false,release_evidence/strong_confirmatory/formative/H3_v2_selective.json,dd084e922e5013e06d679a9e9d1395cd83d24f8373ee93b562918d00e20ec4a7
H5_A_route_validity,formative_controlled,true,not_run,false,release_evidence/strong_confirmatory/formative/H5_A_route_validity.json,4186b513c42de54f945fd49ce0441759bc819c1c27a24f1915078942aa5702bc
H6_A_planted_rules,formative_semisynthetic_on_real_features,true,not_run,false,release_evidence/strong_confirmatory/formative/H6_A_planted_rules.json,a92f9e5b7c26a20f5e3d59740cca09ea96bea508e208ba0d2562e30fb64a0afb
H7_stability,formative_only,false,not_run,false,release_evidence/strong_confirmatory/formative/H7_stability.json,504f2d49fbb354fdb8a0e25e3627bf5437d6c7af1346356df55e073410fd3c0b
H8_grid_sensitivity,formative_only,true,not_run,false,release_evidence/strong_confirmatory/formative/H8_grid_sensitivity.json,89ee1adcbd712d1fbb0a05f8858475f664e847343f987d105ec862179edd9898
H9_scalability,formative_measurement,true,not_run,false,release_evidence/strong_confirmatory/formative/H9_scalability.json,ab85b44c5f412fabd83ace851a38b989e4d61ed9fc83d77c01682182eb74c85c
