method,budget,incident_count,available_incident_count,repository_count,recall,mrr,coverage,contract_macro_f1,joint_hit_at_3,mean_candidate_count,mean_context_lines,mean_search_space_reduction,mean_context_reduction,false_localization,median_runtime_ms
B_BM25,5,40,40,16,0.4,0.30291666666666667,1.0,0.536045197740113,0.3,5.0,119.725,0.9920057185471214,0.9884641813066841,0.025,682.7009975000001
B_BM25,10,40,40,16,0.45,0.3102083333333333,1.0,0.536045197740113,0.3,10.0,243.025,0.9840114370942427,0.9765669578395825,0.025,682.7009975000001
B_BM25,20,40,40,16,0.6,0.31914317042606516,1.0,0.536045197740113,0.3,20.0,623.9,0.9680228741884853,0.9411541123417692,0.025,682.7009975000001
B_BM25,40,40,40,16,0.675,0.32140011487050957,1.0,0.536045197740113,0.3,40.0,1346.675,0.9360457483769707,0.8885888974421002,0.025,682.7009975000001
B_BM25,80,40,40,16,0.75,0.32306290556818407,1.0,0.536045197740113,0.3,79.425,2437.55,0.8809316191482809,0.8183841786497569,0.025,682.7009975000001
B_BM25,160,40,40,16,0.875,0.3243643963519435,1.0,0.536045197740113,0.3,155.425,5261.0,0.808865533190423,0.7189362506733554,0.025,682.7009975000001
B_DENSE,5,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_DENSE,10,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_DENSE,20,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_DENSE,40,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_DENSE,80,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_DENSE,160,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_GREEDY,5,40,40,16,0.375,0.23333333333333334,0.95,0.5388505747126436,0.3,4.5,990.9,0.9920921779517101,0.9649100033556752,0.1,181.693352
B_GREEDY,10,40,40,16,0.475,0.24627976190476192,0.95,0.5388505747126436,0.3,8.575,1440.6,0.9844826249366594,0.9447573882815806,0.1,181.693352
B_GREEDY,20,40,40,16,0.475,0.24627976190476192,0.95,0.5388505747126436,0.3,15.85,1894.725,0.9758638469305948,0.9187557968346883,0.1,181.693352
B_GREEDY,40,40,40,16,0.625,0.25129004719760173,0.95,0.5388505747126436,0.3,28.775,2842.625,0.9630468057790493,0.8891178994071967,0.1,181.693352
B_GREEDY,80,40,40,16,0.675,0.2522892634985422,0.95,0.5388505747126436,0.3,52.775,4809.65,0.9395398539934237,0.8367555833590716,0.1,181.693352
B_GREEDY,160,40,40,16,0.75,0.2529093031810819,0.95,0.5388505747126436,0.3,89.675,8316.175,0.9092862678295841,0.773481293190186,0.1,181.693352
B_REPOGRAPH,5,40,40,16,0.225,0.0925,0.975,0.5319540229885058,0.075,4.675,472.175,0.9921194944241195,0.9784259455463877,0.075,184.97879849999998
B_REPOGRAPH,10,40,40,16,0.35,0.10864087301587302,0.975,0.5319540229885058,0.075,9.3,991.925,0.9842660656812564,0.9575028936160445,0.075,184.97879849999998
B_REPOGRAPH,20,40,40,16,0.425,0.11489087301587302,0.975,0.5319540229885058,0.075,18.55,2625.45,0.9685592081955298,0.906707265703331,0.075,184.97879849999998
B_REPOGRAPH,40,40,40,16,0.675,0.12525462548307376,0.975,0.5319540229885058,0.075,36.875,4672.6,0.9398276504243063,0.8549135303108837,0.075,184.97879849999998
B_REPOGRAPH,80,40,40,16,0.725,0.12634005965674322,0.975,0.5319540229885058,0.075,71.2,7886.725,0.907830911884121,0.7769441324833963,0.075,184.97879849999998
B_REPOGRAPH,160,40,40,16,0.725,0.12634005965674322,0.975,0.5319540229885058,0.075,139.2,10274.575,0.8466391589416815,0.6806222686466556,0.075,184.97879849999998
B_RRF,5,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_RRF,10,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_RRF,20,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_RRF,40,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_RRF,80,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_RRF,160,40,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_TRACE,5,40,40,16,0.15,0.13333333333333333,0.9,0.3943859649122807,0.125,2.2,271.075,0.9962736387345268,0.9928466724256388,0.125,139.347692
B_TRACE,10,40,40,16,0.225,0.14523809523809522,0.9,0.3943859649122807,0.125,2.7,296.4,0.9956969722630589,0.9917115362809644,0.125,139.347692
B_TRACE,20,40,40,16,0.225,0.14523809523809522,0.9,0.3943859649122807,0.125,2.725,299.45,0.9956878181070721,0.9916674388328331,0.125,139.347692
B_TRACE,40,40,40,16,0.225,0.14523809523809522,0.9,0.3943859649122807,0.125,2.725,299.45,0.9956878181070721,0.9916674388328331,0.125,139.347692
B_TRACE,80,40,40,16,0.225,0.14523809523809522,0.9,0.3943859649122807,0.125,2.725,299.45,0.9956878181070721,0.9916674388328331,0.125,139.347692
B_TRACE,160,40,40,16,0.225,0.14523809523809522,0.9,0.3943859649122807,0.125,2.725,299.45,0.9956878181070721,0.9916674388328331,0.125,139.347692
R0,5,40,40,16,0.375,0.23333333333333334,0.95,0.5388505747126436,0.3,4.5,990.9,0.9920921779517101,0.9649100033556752,0.1,183.76742050000001
R0,10,40,40,16,0.475,0.24627976190476192,0.95,0.5388505747126436,0.3,8.575,1440.6,0.9844826249366594,0.9447573882815806,0.1,183.76742050000001
R0,20,40,40,16,0.475,0.24627976190476192,0.95,0.5388505747126436,0.3,15.85,1894.725,0.9758638469305948,0.9187557968346883,0.1,183.76742050000001
R0,40,40,40,16,0.625,0.25129004719760173,0.95,0.5388505747126436,0.3,28.775,2842.625,0.9630468057790493,0.8891178994071967,0.1,183.76742050000001
R0,80,40,40,16,0.675,0.2522892634985422,0.95,0.5388505747126436,0.3,52.775,4809.65,0.9395398539934237,0.8367555833590716,0.1,183.76742050000001
R0,160,40,40,16,0.75,0.2529093031810819,0.95,0.5388505747126436,0.3,89.675,8316.175,0.9092862678295841,0.773481293190186,0.1,183.76742050000001
R5,5,40,40,16,0.65,0.41833333333333333,1.0,0.536045197740113,0.4,5.0,1351.025,0.9920057185471214,0.9553261632919516,0.025,3405.472546
R5,10,40,40,16,0.775,0.4355456349206349,1.0,0.536045197740113,0.4,10.0,2370.9,0.9840114370942427,0.9173740130266363,0.025,3405.472546
R5,20,40,40,16,0.9,0.44473688226977703,1.0,0.536045197740113,0.4,20.0,4174.5,0.9680228741884853,0.8625694840721453,0.025,3405.472546
R5,40,40,40,16,0.95,0.44665717212484946,1.0,0.536045197740113,0.4,40.0,6251.675,0.9360457483769707,0.8037190604163026,0.025,3405.472546
R5,80,40,40,16,0.95,0.44665717212484946,1.0,0.536045197740113,0.4,79.425,10906.7,0.8809316191482809,0.7151432263927822,0.025,3405.472546
R5,160,40,40,16,0.95,0.44665717212484946,1.0,0.536045197740113,0.4,155.425,17305.125,0.808865533190423,0.5987175318080499,0.025,3405.472546
