split,method,incident_count,repository_count,coverage,joint_file_symbol_contract_hit_at_1,joint_file_symbol_contract_hit_at_3,mean_reciprocal_rank,contract_accuracy,false_localization
development,B_GREEDY,6,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334
development,O_ROUTE,6,6,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
