comparison_id,left_mode,right_mode,metric,difference,ci95_lower,ci95_upper,bootstrap_seed,bootstrap_iterations
O_vs_B2,A4,B2,detected_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
O_vs_B2,A4,B2,stage_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
O_vs_B2,A4,B2,contract_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
O_vs_B2,A4,B2,action_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
A2_vs_A1,A2,A1,detected_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
A2_vs_A1,A2,A1,stage_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
A2_vs_A1,A2,A1,contract_correct,0.3333333333333333,0.1111111111111111,0.5555555555555556,1729,10000
A2_vs_A1,A2,A1,action_correct,0.2777777777777778,0.1111111111111111,0.5,1729,10000
A3_vs_A2,A3,A2,detected_correct,0.0,0.0,0.0,1729,10000
A3_vs_A2,A3,A2,stage_correct,0.0,0.0,0.0,1729,10000
A3_vs_A2,A3,A2,contract_correct,0.0,0.0,0.0,1729,10000
A3_vs_A2,A3,A2,action_correct,0.0,0.0,0.0,1729,10000
A4_vs_A3,A4,A3,detected_correct,0.0,0.0,0.0,1729,10000
A4_vs_A3,A4,A3,stage_correct,0.0,0.0,0.0,1729,10000
A4_vs_A3,A4,A3,contract_correct,0.0,0.0,0.0,1729,10000
A4_vs_A3,A4,A3,action_correct,0.05555555555555555,0.0,0.16666666666666666,1729,10000
O_vs_B1,A4,B1,detected_correct,0.8333333333333334,0.6666666666666666,1.0,1729,10000
O_vs_B1,A4,B1,stage_correct,0.8333333333333334,0.6666666666666666,1.0,1729,10000
O_vs_B1,A4,B1,contract_correct,0.8333333333333334,0.6666666666666666,1.0,1729,10000
O_vs_B1,A4,B1,action_correct,1.0,1.0,1.0,1729,10000
