selected_count,coverage,selective_precision,risk,probability_threshold
1,0.03333333333333333,0.0,1.0,0.9970547382231333
2,0.06666666666666667,0.5,0.5,0.995418444121175
3,0.1,0.3333333333333333,0.6666666666666667,0.9938108313869781
4,0.13333333333333333,0.25,0.75,0.9933752863369645
5,0.16666666666666666,0.4,0.6,0.9930752974163642
6,0.2,0.5,0.5,0.9915129095060091
7,0.23333333333333334,0.42857142857142855,0.5714285714285714,0.9910647881889312
8,0.26666666666666666,0.5,0.5,0.9893352693650137
9,0.3,0.5555555555555556,0.4444444444444444,0.9886411684963808
10,0.3333333333333333,0.5,0.5,0.9861898899888912
11,0.36666666666666664,0.45454545454545453,0.5454545454545454,0.9792359625191576
12,0.4,0.5,0.5,0.9788564981705933
13,0.43333333333333335,0.46153846153846156,0.5384615384615384,0.9780781686499315
14,0.4666666666666667,0.5,0.5,0.9739802294061787
15,0.5,0.5333333333333333,0.4666666666666667,0.9727286999175369
16,0.5333333333333333,0.5625,0.4375,0.9725800720702433
17,0.5666666666666667,0.5294117647058824,0.47058823529411764,0.972133017734137
18,0.6,0.5555555555555556,0.4444444444444444,0.969768219636997
19,0.6333333333333333,0.5263157894736842,0.4736842105263158,0.9671590787094454
20,0.6666666666666666,0.5,0.5,0.965381664419214
21,0.7,0.47619047619047616,0.5238095238095238,0.962991273500153
22,0.7333333333333333,0.5,0.5,0.9578869845402623
23,0.7666666666666667,0.5217391304347826,0.4782608695652174,0.9564441139379108
24,0.8,0.5,0.5,0.9537899850244876
25,0.8333333333333334,0.52,0.48,0.9348805536331634
26,0.8666666666666667,0.5384615384615384,0.46153846153846156,0.9326948899993945
27,0.9,0.5185185185185185,0.4814814814814815,0.8995687937537657
28,0.9333333333333333,0.5,0.5,0.8973062633095982
29,0.9666666666666667,0.4827586206896552,0.5172413793103448,0.8875088221776667
30,1.0,0.4666666666666667,0.5333333333333333,0.8828371104403078
