path,sha256,bytes
README.md,ad622df1110064de7ad690ffab4deec335587bfc436b2cb6d4cd61e0a4818e28,813
appendix/browser_visual_check.json,23e7a2233e3e9d8faec0674b9499b9727c22fe936fedd8db16a2d8710d526be6,2225
appendix/browser_visual_check.md,41cf0bd2595709ce8de41e0def24943028b69974742874a47896596ef03b68a1,1220
appendix/doctoral_final_evidence_index.md,1a7a896f69f2b5a5b700f1b4bf211b9ab677275b6b03f3482bb2da87728b629e,2141
appendix/doctoral_writer_all_in_one.md,0c2ea9536154a28d4e80ef94dc35753095baf252b434c06fc7b4f5686de92bdb,29106
appendix/doctoral_writer_handoff.md,ddf6964be10efde7b65dc4683347d0294d8fd6c74321672a337d9831dec0275a,17097
appendix/gui_acceptance_report.json,0821f853301fabd78ea4386612e17fcca0c18bba7f3629b3eb4209cf0b8c0761,436
chapter4/screens/10_evidence_contract.png,721ae6d66379fade17be06e3974845c514b669333755c383f317dc6069adabab,132545
chapter4/screens/11_ecosystem_registry.png,721ae6d66379fade17be06e3974845c514b669333755c383f317dc6069adabab,132545
chapter4/screens/12_real_rows_improvements.png,33192c58a4bbc3b1157137fba910f253f1844db5b66996741a2fa3e7db0f6d5d,72293
chapter4/screens/13_sdk_api_route.png,560758cc6ee5f7cdec28f9d1814a5e1ebdac3b7296fb5051b3505d31db6e437e,100715
chapter4/screens/14_dissertation_artifacts.png,eeabd12d06e40378629a6dd94e0a312e7df31cf98b3043cdb9ab63a4748501db,98190
chapter4/screens/fig_4_ecosystem_registry.png,721ae6d66379fade17be06e3974845c514b669333755c383f317dc6069adabab,132545
chapter4/screens/fig_4_evidence_contract.png,721ae6d66379fade17be06e3974845c514b669333755c383f317dc6069adabab,132545
chapter4/screens/fig_4_evidence_matrix_heatmap.png,51ff943da027f2174f3e379944d4805c552c79a391d21ac704470f1967ad81ae,126070
chapter4/screens/fig_4_real_rows_improvements.png,33192c58a4bbc3b1157137fba910f253f1844db5b66996741a2fa3e7db0f6d5d,72293
chapter4/screens/fig_4_registry_status_counts.png,59e517e45897b63c306a660ad5de0357a7e8ecb433f0bdf1467b83c8640ccfd0,63806
chapter4/tables/ecosystem_evidence.csv,d8742e3e71f1208555543c9504cf8fba20af33994f6b575c037e03925074e6b3,3212
chapter4/tables/ecosystem_evidence.md,9e85f839ce9fb2756f684cb792766979e30dcecc1d10e7cb32eb74e799360d8e,2662
chapter4/tables/evidence_matrix.csv,0763ddbbfe05947b2f83a3fd7d4bd47ef3af3e33cc9ba376e7ed87c7ae891155,5629
