method,population,cases,source_f1,repair_f1,false_certification,false_block,cut_exact,cut_cost_regret,repair_cost_regret,runtime_ms
full_h10,all,900,1.0,0.9774915824915825,0.0,0.0,0.8744444444444445,3.3933333333333335,0.24888888888888888,0.15858403888210482
full_h10,single,180,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17589147777622807
full_h10,composite,360,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19874824997714313
full_h10,unknown_ambiguous,180,1.0,0.8874579124579125,0.0,0.0,0.37222222222222223,16.966666666666665,1.2444444444444445,0.19532400555767204
independent_if_else,all,900,1.0,0.9774915824915825,0.0,0.0,0.5611111111111111,4.247777777777777,0.24888888888888888,0.028233092219933396
independent_if_else,single,180,1.0,1.0,0.0,0.0,0.8944444444444445,0.26666666666666666,0.0,0.027182922225519077
independent_if_else,composite,360,1.0,1.0,0.0,0.0,0.2861111111111111,1.738888888888889,0.0,0.030840752778102696
independent_if_else,unknown_ambiguous,180,1.0,0.8874579124579125,0.0,0.0,0.3388888888888889,17.494444444444444,1.2444444444444445,0.032201683320130944
typed_route_without_cut,all,900,1.0,0.9774915824915825,0.0,0.0,0.5611111111111111,4.247777777777777,0.24888888888888888,0.05081004554995161
typed_route_without_cut,single,180,1.0,1.0,0.0,0.0,0.8944444444444445,0.26666666666666666,0.0,0.04698321667243969
typed_route_without_cut,composite,360,1.0,1.0,0.0,0.0,0.2861111111111111,1.738888888888889,0.0,0.06752904443298273
typed_route_without_cut,unknown_ambiguous,180,1.0,0.8874579124579125,0.0,0.0,0.3388888888888889,17.494444444444444,1.2444444444444445,0.05178391666554995
