method,population,cases,source_localization_f1,repair_set_f1,false_certification,false_block,cut_exact,cut_jaccard,cut_cost_regret,repair_cost_regret,runtime_ms,evidence_status
full_h10,overall,900,1.0,0.9774915824915825,0.0,0.0,0.8744444444444445,0.905537037037037,3.3933333333333335,0.24888888888888888,0.15858403888210482,exploratory_development_only
independent_if_else,overall,900,1.0,0.9774915824915825,0.0,0.0,0.5611111111111111,0.7651851851851852,4.247777777777777,0.24888888888888888,0.028233092219933396,exploratory_development_only
typed_route_without_cut,overall,900,1.0,0.9774915824915825,0.0,0.0,0.5611111111111111,0.7651851851851852,4.247777777777777,0.24888888888888888,0.05081004554995161,exploratory_development_only
