method,population,cases,cut_exact,cut_jaccard,cut_cost_regret,evidence_status
full_h10,composite,360,1.0,1.0,0.0,exploratory_development_only
independent_if_else,composite,360,0.2861111111111111,0.7018518518518518,1.738888888888889,exploratory_development_only
typed_route_without_cut,composite,360,0.2861111111111111,0.7018518518518518,1.738888888888889,exploratory_development_only
