pipeline_id,method,composite_cases,source_localization_f1,repair_set_f1,cut_exact,evidence_status
image_cnn_a,full_h10,60,1.0,1.0,1.0,exploratory_development_only
image_cnn_a,independent_if_else,60,1.0,1.0,0.26666666666666666,exploratory_development_only
image_cnn_a,typed_route_without_cut,60,1.0,1.0,0.26666666666666666,exploratory_development_only
tabular_boost_b,full_h10,60,1.0,1.0,1.0,exploratory_development_only
tabular_boost_b,independent_if_else,60,1.0,1.0,0.23333333333333334,exploratory_development_only
tabular_boost_b,typed_route_without_cut,60,1.0,1.0,0.23333333333333334,exploratory_development_only
tabular_tree_a,full_h10,60,1.0,1.0,1.0,exploratory_development_only
tabular_tree_a,independent_if_else,60,1.0,1.0,0.3333333333333333,exploratory_development_only
tabular_tree_a,typed_route_without_cut,60,1.0,1.0,0.3333333333333333,exploratory_development_only
text_encoder_b,full_h10,60,1.0,1.0,1.0,exploratory_development_only
text_encoder_b,independent_if_else,60,1.0,1.0,0.36666666666666664,exploratory_development_only
text_encoder_b,typed_route_without_cut,60,1.0,1.0,0.36666666666666664,exploratory_development_only
text_transformer_a,full_h10,60,1.0,1.0,1.0,exploratory_development_only
text_transformer_a,independent_if_else,60,1.0,1.0,0.23333333333333334,exploratory_development_only
text_transformer_a,typed_route_without_cut,60,1.0,1.0,0.23333333333333334,exploratory_development_only
timeseries_encoder_a,full_h10,60,1.0,1.0,1.0,exploratory_development_only
timeseries_encoder_a,independent_if_else,60,1.0,1.0,0.2833333333333333,exploratory_development_only
timeseries_encoder_a,typed_route_without_cut,60,1.0,1.0,0.2833333333333333,exploratory_development_only
