pipeline,batch_size,cache,serialization,repetition,model_ms,explainer_ms,fuzzyxai_ms,serialization_ms,total_ms,peak_ram_mb,peak_vram_mb,throughput_objects_per_second,overhead_ratio
tabular_shap,1,warm,False,0,0.0426,0.154543,0.03155,0.00012,0.228813,840.23828125,0.0,4370.381053524057,0.16064481112694848
tabular_shap,1,warm,False,1,0.048562,0.134625,0.028524,0.00012,0.211831,840.23828125,0.0,4720.744366971784,0.15636480754638704
tabular_shap,1,warm,False,2,0.043934,0.129325,0.028193,0.00013,0.201582,840.23828125,0.0,4960.760385351867,0.16347202742714664
tabular_shap,1,warm,False,3,0.043262,0.129055,0.027352,0.00011,0.199779,840.23828125,0.0,5005.531111878626,0.15936906979578336
tabular_shap,1,warm,False,4,0.04237,0.130076,0.027703,0.00011,0.200259,840.23828125,0.0,4993.533374280307,0.16128527191120698
tabular_shap,1,warm,False,5,0.050986,0.13682,0.029235,0.00011,0.217151,840.36328125,0.0,4605.090467002224,0.15625166395109846
tabular_shap,1,warm,False,6,0.045376,0.136519,0.029586,9e-05,0.211571,840.36328125,0.0,4726.545698607087,0.1631490695181286
tabular_shap,1,warm,False,7,0.046999,0.130708,0.028263,0.00011,0.20608,840.36328125,0.0,4852.484472049689,0.15966169031045485
tabular_shap,1,warm,False,8,0.043653,0.133573,0.028484,0.00013,0.20584,840.36328125,0.0,4858.142246404975,0.16145486553891641
tabular_shap,1,warm,False,9,0.043693,0.13714,0.030067,0.00011,0.21101,840.36328125,0.0,4739.111890431733,0.166877726963552
tabular_shap,1,warm,False,10,0.046828,0.135788,0.028073,0.00011,0.210799,840.36328125,0.0,4743.855521136248,0.15432930301835546
tabular_shap,1,warm,False,11,0.044454,0.125307,0.027613,0.00014,0.197514,840.36328125,0.0,5062.932247840659,0.16348277873009703
tabular_shap,1,warm,False,12,0.04244,0.125899,0.027221,0.000101,0.195661,840.36328125,0.0,5110.880553610582,0.16230344721068793
tabular_shap,1,warm,False,13,0.042841,0.129896,0.028424,9e-05,0.201251,840.36328125,0.0,4968.919409096104,0.16507175648529268
tabular_shap,1,warm,False,14,0.048983,0.130848,0.027943,0.0001,0.207874,840.36328125,0.0,4810.606425045941,0.15594085558107335
tabular_shap,1,warm,False,15,0.043473,0.127521,0.027673,0.00011,0.198777,840.36328125,0.0,5030.763116457136,0.16247938524158745
tabular_shap,1,warm,False,16,0.042601,0.125849,0.027502,9e-05,0.196042,840.36328125,0.0,5100.947756093082,0.16379934698723658
tabular_shap,1,warm,False,17,0.041929,0.127161,0.027623,0.00012,0.196833,840.36328125,0.0,5080.4489084655515,0.16407238748595424
tabular_shap,1,warm,False,18,0.042911,0.127051,0.029326,0.00011,0.199398,840.36328125,0.0,5015.095437266172,0.17319165460514704
tabular_shap,1,warm,False,19,0.044444,0.130137,0.027853,0.0001,0.202534,840.36328125,0.0,4937.442602229749,0.16011478912367325
tabular_shap,1,warm,False,20,0.043132,0.133934,0.028704,0.000111,0.205881,840.36328125,0.0,4857.174775719955,0.1627359289756362
tabular_shap,1,warm,False,21,0.044765,0.129826,0.027642,0.00011,0.202343,840.36328125,0.0,4942.103260305521,0.15895435618101736
tabular_shap,1,warm,False,22,0.04261,0.128424,0.027893,9e-05,0.199017,840.36328125,0.0,5024.696382721074,0.16361074406258402
tabular_shap,1,warm,False,23,0.04227,0.14266,0.029426,0.00011,0.214466,840.36328125,0.0,4662.7437449292665,0.1597144865624831
tabular_shap,1,warm,False,24,0.045567,0.127371,0.027522,0.000101,0.200561,840.36328125,0.0,4986.014230084613,0.15972776370722455
tabular_shap,1,warm,False,25,0.043232,0.125638,0.027652,0.000111,0.196633,840.36328125,0.0,5085.616351273692,0.1644045715639249
tabular_shap,1,warm,False,26,0.041669,0.125168,0.027902,0.000111,0.19485,840.36328125,0.0,5132.152938157557,0.16790639965954793
tabular_shap,1,warm,False,27,0.043012,0.124957,0.028043,0.00011,0.196122,840.36328125,0.0,5098.867031745546,0.16760830867600568
tabular_shap,1,warm,False,28,0.042621,0.136729,0.028675,0.00011,0.208135,840.36328125,0.0,4804.573954404593,0.16049623640925564
tabular_shap,1,warm,False,29,0.043752,0.130668,0.028524,0.0001,0.203044,840.36328125,0.0,4925.040877839287,0.16410962045636968
tabular_shap,1,warm,True,0,0.044023,0.130307,0.028564,0.008426,0.21132,840.36328125,0.0,4732.159757713421,0.21218378936499738
tabular_shap,1,warm,True,1,0.045196,0.128884,0.028193,0.005922,0.208195,840.36328125,0.0,4803.189317706958,0.1959731158088235
tabular_shap,1,warm,True,2,0.043643,0.128764,0.035898,0.00501,0.213315,840.36328125,0.0,4687.902866652603,0.2372757486644974
tabular_shap,1,warm,True,3,0.045366,0.129906,0.028023,0.005,0.208295,840.36328125,0.0,4800.883362538707,0.1884100141494363
tabular_shap,1,warm,True,4,0.043122,0.135256,0.027923,0.004849,0.21115,840.36328125,0.0,4735.969689793985,0.18372220789559254
tabular_shap,1,warm,True,5,0.045446,0.128364,0.027622,0.004869,0.206301,840.36328125,0.0,4847.286246794732,0.18693400839997695
tabular_shap,1,warm,True,6,0.045075,0.134515,0.028103,0.00494,0.212633,840.36328125,0.0,4702.938866497674,0.18399131354752493
tabular_shap,1,warm,True,7,0.044384,0.140025,0.030087,0.00507,0.219566,840.36328125,0.0,4554.4392118998385,0.19064687732160576
tabular_shap,1,warm,True,8,0.045546,0.128854,0.027823,0.00496,0.207183,840.36328125,0.0,4826.650835251927,0.18797591743119266
tabular_shap,1,warm,True,9,0.043282,0.127302,0.027301,0.00499,0.202875,840.36328125,0.0,4929.143561306223,0.18929676874736198
tabular_shap,1,warm,True,10,0.04211,0.132611,0.028284,0.004919,0.207924,840.36328125,0.0,4809.449606587022,0.1900343976968996
tabular_shap,1,warm,True,11,0.043112,0.127963,0.033423,0.00552,0.210018,840.36328125,0.0,4761.4966336218795,0.22763700131521264
tabular_shap,1,warm,True,12,0.044815,0.128013,0.028313,0.004829,0.20597,840.36328125,0.0,4855.075981939118,0.19176290878792793
tabular_shap,1,warm,True,13,0.043732,0.127041,0.028114,0.004839,0.203726,840.36328125,0.0,4908.553645582792,0.19296375890802414
