pipeline,batch_size,cache,serialization,mean_total_ms,median_total_ms,p90_total_ms,p95_total_ms,std_total_ms,median_overhead_ratio,p95_overhead_ratio,median_throughput_objects_per_second,peak_ram_mb,peak_vram_mb
image_gradcam,1,cold,False,8.828484833333333,7.8843499999999995,12.992757000000001,16.032890000000002,3.451654150354032,0.02860155850500273,0.03746465963620599,126.84255298568299,853.23046875,0.0
image_gradcam,1,cold,True,8.888313566666666,7.502571,12.484043,16.24989,3.967452842180994,0.028770636718232274,0.04007360898599312,133.51210183990264,853.23046875,0.0
image_gradcam,1,warm,False,0.8193389333333333,0.4807815,2.708985,2.773326,0.7993598569789295,0.571653342272999,0.6185427778083247,2079.949084641601,852.98046875,0.0
image_gradcam,1,warm,True,0.7221388666666667,0.47730950000000005,2.747407,2.905147,0.7814307397584886,0.523453962447671,0.6267863405598476,2095.076758438575,853.10546875,0.0
image_gradcam,8,cold,False,11.589764,9.827317500000001,24.378478,25.901575,6.182096024212383,0.1464881182926815,0.4111493568279127,814.2870408775316,861.98046875,0.0
image_gradcam,8,cold,True,9.456601733333335,7.7512425,13.159393000000001,16.246493,4.626388771277643,0.18922354867251648,0.22442999394993768,1032.0970719615427,862.10546875,0.0
image_gradcam,8,warm,False,1.5653366,1.4920135,2.020299,2.024447,0.22310309651873567,1.7195702723266884,1.9573487501341482,5361.919407860845,861.73046875,0.0
image_gradcam,8,warm,True,1.5126338666666668,1.446542,1.861628,1.864605,0.16930970177443208,1.688651881733327,2.5941654486736274,5530.519751997604,861.85546875,0.0
image_gradcam,32,cold,False,19.8456195,13.3102585,39.445556,78.951228,17.766141386216933,0.34149834489048736,0.7415184509470025,2404.169369482215,863.98046875,0.0
image_gradcam,32,cold,True,15.409316666666665,13.565563000000001,26.067098,29.325494,5.859875251925699,0.4080606163516468,0.7601683607975864,2360.277745159068,863.98046875,0.0
image_gradcam,32,warm,False,3.2864444,3.19986,3.66686,3.711115,0.23598198523128103,3.3277667943176326,4.4548289713330504,10000.437740436137,863.60546875,0.0
image_gradcam,32,warm,True,3.4264752666666665,3.423354,3.724459,3.76718,0.21544068424301585,3.2501874413775953,4.684696534507288,9349.549178033063,863.60546875,0.0
tabular_shap,1,cold,False,5.041300333333334,4.928046,5.525062,5.805534,0.41023251833112745,0.010514387114518242,0.013724264147613302,202.9225665711831,840.86328125,0.0
tabular_shap,1,cold,True,4.997311300000001,4.890795499999999,5.380168,5.380338,0.23979865245072324,0.011979135009995085,0.013616459946485167,204.466374414335,841.11328125,0.0
tabular_shap,1,warm,False,0.20405503333333333,0.2019625,0.214466,0.217151,0.007696725243998851,0.16239141622613767,0.16790639965954793,4951.431822828694,840.36328125,0.0
tabular_shap,1,warm,True,0.20655546666666666,0.2061355,0.213315,0.219566,0.005935832682680807,0.1906571550370605,0.22763700131521264,4851.181114366925,840.36328125,0.0
tabular_shap,8,cold,False,5.1939150666666665,5.056865,5.955989,6.2120049999999996,0.4078979575049194,0.016244479614952144,0.020240685845013175,1582.0096964285062,841.23828125,0.0
tabular_shap,8,cold,True,5.818039066666667,5.2944655,7.75556,8.07184,1.1490892310695737,0.01718403802140928,0.01967383713540455,1511.0293420199391,841.36328125,0.0
tabular_shap,8,warm,False,0.34739613333333336,0.3448785,0.360774,0.361154,0.0077384993632746615,0.19792804705397565,0.2017609227715639,23196.57542944921,841.23828125,0.0
tabular_shap,8,warm,True,0.34932013333333334,0.34939699999999996,0.356726,0.358028,0.005449201217852366,0.21359796551959748,0.2277860368377339,22896.59615540426,841.23828125,0.0
tabular_shap,32,cold,False,5.7139605,5.6073835,6.19887,6.353273,0.2759129896725627,0.03482155136333524,0.03770111438264802,5706.765658212831,841.61328125,0.0
tabular_shap,32,cold,True,5.589617233333333,5.5267655,5.833728,5.922046,0.2207254743772944,0.036399830951045486,0.03767043975641543,5790.11970308862,841.61328125,0.0
tabular_shap,32,warm,False,0.8425166333333334,0.8425825,0.854539,0.8549,0.006489991724575418,0.23174093411106336,0.24606321563010386,37978.47691983788,841.36328125,0.0
tabular_shap,32,warm,True,0.8471338,0.847051,0.856754,0.858949,0.0057012717056871545,0.2383603689406823,0.2563777262167267,37778.129608503514,841.36328125,0.0
text_token_masking,1,cold,False,5.429092533333333,5.166458499999999,6.683849,6.765072,0.8226369381929666,0.008858876069283397,0.011619709915217241,193.67444806220084,863.98046875,0.0
