coverage,mean_complexity,mean_risk,mode,undercoverage
0.12250000000000005,1.0,0.8975,always_F0,0.8775
0.22999999999999998,2.0,0.79,always_Fint,0.77
0.4358333333333333,4.0,0.5841666666666666,always_NAS,0.5641666666666667
1.0,8.0,0.02,always_FML,0.0
1.0,5.674166666666666,0.02,adaptive,0.0
