policy,review_budget,cost_profile,automatic_coverage,accepted_error_rate,wrong_automatic_actions,selective_risk,manual_review_load,review_rate,false_blocks,true_structural_blocks,total_cost,risk_auroc,risk_auprc,expected_calibration_error,brier_score,action_sha256
max_confidence,0.1,review_expensive,0.9,0.021929824561403508,150,0.021929824561403508,760,0.1,0,0,4540.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,69219c7ca573a7480759b31784cd9af4ae518989880d8b7b38fafcefd367c500
max_confidence,0.2,balanced,0.8,0.012171052631578947,74,0.012171052631578947,1520,0.2,0,0,2260.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,8eb83b0c6e56c47b552f5d898e801434fb4a3da0f0ea5905b12f6ae474a62bdc
max_confidence,0.2,unsafe_accept_sensitive,0.8,0.012171052631578947,74,0.012171052631578947,1520,0.2,0,0,3370.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,8eb83b0c6e56c47b552f5d898e801434fb4a3da0f0ea5905b12f6ae474a62bdc
max_confidence,0.2,review_expensive,0.8,0.012171052631578947,74,0.012171052631578947,1520,0.2,0,0,6820.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,8eb83b0c6e56c47b552f5d898e801434fb4a3da0f0ea5905b12f6ae474a62bdc
max_confidence,0.3,balanced,0.7,0.007518796992481203,40,0.007518796992481203,2280,0.3,0,0,2680.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,2f8aec07dc55ba5f09e6702e80c2bbc368ec1ec23aaf1330bfbf637233e6b08a
max_confidence,0.3,unsafe_accept_sensitive,0.7,0.007518796992481203,40,0.007518796992481203,2280,0.3,0,0,3280.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,2f8aec07dc55ba5f09e6702e80c2bbc368ec1ec23aaf1330bfbf637233e6b08a
max_confidence,0.3,review_expensive,0.7,0.007518796992481203,40,0.007518796992481203,2280,0.3,0,0,9520.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,2f8aec07dc55ba5f09e6702e80c2bbc368ec1ec23aaf1330bfbf637233e6b08a
max_confidence,0.4,balanced,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,3280.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,98a600777b46f1b7de1936d4f48da2e8ded51961e888a5017d352a4d73fb28f1
max_confidence,0.4,unsafe_accept_sensitive,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,3640.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,98a600777b46f1b7de1936d4f48da2e8ded51961e888a5017d352a4d73fb28f1
max_confidence,0.4,review_expensive,0.6,0.005263157894736842,24,0.005263157894736842,3040,0.4,0,0,12400.0,0.9017254723806639,0.34838710253616456,0.013756981107749436,0.039776042766344055,98a600777b46f1b7de1936d4f48da2e8ded51961e888a5017d352a4d73fb28f1
calibrated_confidence,0.05,balanced,0.95,0.033795013850415515,244,0.033795013850415515,380,0.05,0,0,2820.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,b66b682c8edafd1a81c36ed3b126805f12b02756d7d6aaef15fe99fc211ae4b2
calibrated_confidence,0.05,unsafe_accept_sensitive,0.95,0.033795013850415515,244,0.033795013850415515,380,0.05,0,0,6480.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,b66b682c8edafd1a81c36ed3b126805f12b02756d7d6aaef15fe99fc211ae4b2
calibrated_confidence,0.05,review_expensive,0.95,0.033795013850415515,244,0.033795013850415515,380,0.05,0,0,3960.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,b66b682c8edafd1a81c36ed3b126805f12b02756d7d6aaef15fe99fc211ae4b2
calibrated_confidence,0.1,balanced,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,2290.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,065e07ca64a12fc48f2fd071783d94a852ba5cb631b84c5ecd0594f5dda0a0e5
calibrated_confidence,0.1,unsafe_accept_sensitive,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,4585.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,065e07ca64a12fc48f2fd071783d94a852ba5cb631b84c5ecd0594f5dda0a0e5
calibrated_confidence,0.1,review_expensive,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,4570.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,065e07ca64a12fc48f2fd071783d94a852ba5cb631b84c5ecd0594f5dda0a0e5
calibrated_confidence,0.2,balanced,0.8,0.011842105263157895,72,0.011842105263157895,1520,0.2,0,0,2240.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,cf709c72a87e06ec3eb7b5d162e41190c6e52d5a04f6678eb46949a16e0aadeb
calibrated_confidence,0.2,unsafe_accept_sensitive,0.8,0.011842105263157895,72,0.011842105263157895,1520,0.2,0,0,3320.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,cf709c72a87e06ec3eb7b5d162e41190c6e52d5a04f6678eb46949a16e0aadeb
calibrated_confidence,0.2,review_expensive,0.8,0.011842105263157895,72,0.011842105263157895,1520,0.2,0,0,6800.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,cf709c72a87e06ec3eb7b5d162e41190c6e52d5a04f6678eb46949a16e0aadeb
calibrated_confidence,0.3,balanced,0.7,0.006954887218045113,37,0.006954887218045113,2280,0.3,0,0,2650.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,649c667b3a3d6d18f922fb0958a08ab63d2ee549abe3e8fd0f865b0fced99a56
calibrated_confidence,0.3,unsafe_accept_sensitive,0.7,0.006954887218045113,37,0.006954887218045113,2280,0.3,0,0,3205.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,649c667b3a3d6d18f922fb0958a08ab63d2ee549abe3e8fd0f865b0fced99a56
calibrated_confidence,0.3,review_expensive,0.7,0.006954887218045113,37,0.006954887218045113,2280,0.3,0,0,9490.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,649c667b3a3d6d18f922fb0958a08ab63d2ee549abe3e8fd0f865b0fced99a56
calibrated_confidence,0.4,balanced,0.6,0.005482456140350877,25,0.005482456140350877,3040,0.4,0,0,3290.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,3684f79a22e51f0ef13e96f7deb738cfecbc042bf8f8570197fd950c77c355e2
calibrated_confidence,0.4,unsafe_accept_sensitive,0.6,0.005482456140350877,25,0.005482456140350877,3040,0.4,0,0,3665.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,3684f79a22e51f0ef13e96f7deb738cfecbc042bf8f8570197fd950c77c355e2
calibrated_confidence,0.4,review_expensive,0.6,0.005482456140350877,25,0.005482456140350877,3040,0.4,0,0,12410.0,0.9010584047022137,0.3311838032245704,0.01984586797805821,0.04050991189762942,3684f79a22e51f0ef13e96f7deb738cfecbc042bf8f8570197fd950c77c355e2
predictive_entropy,0.05,balanced,0.95,0.033102493074792246,239,0.033102493074792246,380,0.05,0,0,2770.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e415b0a2c6e73f5d506ab03f32e8ee1c3c90b5b0e7f723feb5008caf83c7c8d0
predictive_entropy,0.05,unsafe_accept_sensitive,0.95,0.033102493074792246,239,0.033102493074792246,380,0.05,0,0,6355.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e415b0a2c6e73f5d506ab03f32e8ee1c3c90b5b0e7f723feb5008caf83c7c8d0
predictive_entropy,0.05,review_expensive,0.95,0.033102493074792246,239,0.033102493074792246,380,0.05,0,0,3910.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,e415b0a2c6e73f5d506ab03f32e8ee1c3c90b5b0e7f723feb5008caf83c7c8d0
predictive_entropy,0.1,balanced,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,2290.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,1096e82d2150f026e23d72c20bac21acd3185696000464f828df21842b0c5f12
predictive_entropy,0.1,unsafe_accept_sensitive,0.9,0.02236842105263158,153,0.02236842105263158,760,0.1,0,0,4585.0,0.9019098536727634,0.3627931627548439,0.030174439451473425,0.04167131943066904,1096e82d2150f026e23d72c20bac21acd3185696000464f828df21842b0c5f12
