case_id,cases,violation_recall,stage_accuracy,contract_accuracy,root_cause_accuracy,repair_success
C1_BASELINE,4,0.0,0.0,0.0,0.0,0.0
C2_CONSISTENT_RETRAIN,4,0.0,0.0,0.0,0.0,0.0
E1_TARGET_LEAKAGE,4,1.0,1.0,1.0,1.0,0.0
E2_TRAIN_TEST_OVERLAP,4,1.0,1.0,1.0,1.0,1.0
E3_PREPROCESSOR_FIT_SCOPE,4,1.0,1.0,1.0,1.0,1.0
E4_FEATURE_SCHEMA_OR_ORDER,4,1.0,1.0,1.0,1.0,1.0
E5_MODEL_ARTIFACT_MISMATCH,4,1.0,1.0,1.0,1.0,1.0
E6_MODEL_EXPLAINER_VERSION,4,1.0,1.0,1.0,1.0,1.0
E7_PREDICTION_EXPLANATION_BINDING,4,1.0,1.0,1.0,1.0,1.0
E8_EXPLANATION_PROVENANCE,4,1.0,1.0,1.0,1.0,1.0
