policy,automatic_coverage,wrong_automatic_actions,selective_risk,manual_review_load,false_blocks,total_cost,risk_auroc,risk_auprc,expected_calibration_error,brier_score
always_accept,1.0,396,0.0521052631578947,0,0,3960.0,0.5,0.0521052631578947,0.0521052631578947,0.0521052631578947
max_confidence,0.8,74,0.0121710526315789,1520,0,2260.0,0.901725472380664,0.3483871025361645,0.0137569811077494,0.039776042766344
calibrated_confidence,0.8,72,0.0118421052631578,1520,0,2240.0,0.9010584047022135,0.3311838032245704,0.0198458679780582,0.0405099118976294
predictive_entropy,0.8,73,0.0120065789473684,1520,0,2250.0,0.9019098536727634,0.3627931627548439,0.0301744394514734,0.041671319430669
weighted_linear,0.8,73,0.0120065789473684,1520,0,2250.0,0.9018386951132648,0.3528887210346983,0.0083356141957613,0.0398210459301856
explainer_disagreement,0.8,308,0.0506578947368421,1520,0,4600.0,0.499171335789881,0.0521687380716928,0.9005519880016783,0.8703994498867154
simple_or,0.8,101,0.0166118421052631,1520,0,2530.0,0.7673693486783437,0.1469312046474364,0.4371052631578948,0.2954605263157894
provenance_only,0.8,312,0.0513157894736842,1520,0,4640.0,0.5042765242654192,0.0525323488645857,0.7113157894736841,0.7113157894736842
predictive_risk_P0,0.8,72,0.0118421052631578,1520,0,2240.0,0.9012925619324844,0.3568879084843062,0.2094007369909989,0.1101506874345939
full_fuzzyxai_P1,0.8,72,0.0118421052631578,1520,0,2240.0,0.897291908535662,0.357087941674637,0.2064362393352651,0.1094338315872407
full_fuzzyxai,0.8,308,0.0506578947368421,1520,0,4600.0,0.5203506469469823,0.0534801710346446,0.912403166519574,0.885947445155147
random_matched_budget,0.8,314,0.0516447368421052,1520,0,4660.0,0.4780018396065036,0.0517079214271854,0.4549023959646348,0.3376753661369353
