modality,model,explainer,n,repetitions,model_seconds_median,explainer_seconds_median,fuzzyxai_seconds_median,serialization_seconds_median,total_seconds_median,objects_per_second_median,peak_rss_bytes_median,peak_vram_bytes_median,fuzzyxai_time_fraction,explainer_time_fraction
text,DistilBERT AG News,integrated_gradients,1,5,0.008927992,0.052509739,0.000374592,8.306e-06,0.0623342849999999,16.042535821177704,1662472192.0,500442112.0,0.0060094055783266,0.8423893688681933
text,DistilBERT AG News,integrated_gradients,10,5,0.049620765,0.936936881,0.001946139,4.5226e-05,0.988462698,10.11671964984965,1663459328.0,1053560320.0,0.0019688542662638,0.9478727754681544
text,DistilBERT AG News,integrated_gradients,100,5,0.388480795,7.337809675,0.014716664,0.000384191,7.777866941,12.856995466567213,1666306048.0,1053560320.0,0.0018921208233099,0.9434218572600804
text,DistilBERT AG News,integrated_gradients,1000,5,4.059767099,65.254985114,0.13890752,0.004059001,68.464471958,14.606115718141474,1680588800.0,1053560320.0,0.00202889931124,0.9531218637606832
text,DistilBERT AG News,token_masking,1,5,0.006464145,0.023198615,0.000368329,8.836e-06,0.029003088,34.47908719237069,1675153408.0,356588032.0,0.0126996477064787,0.7998670693272385
text,DistilBERT AG News,token_masking,10,5,0.028844386,0.670632351,0.001731498,4.4745e-05,0.706111999,14.162059296771702,1675964416.0,474695168.0,0.0024521577348241,0.9497535121195412
text,DistilBERT AG News,token_masking,100,5,0.402572349,9.898119307,0.013763546,0.000394896,10.334682216,9.67615625811711,1678348288.0,612951552.0,0.0013317822176178,0.9577574907601784
text,DistilBERT AG News,token_masking,1000,5,3.238417815,63.264907806,0.130878114,0.003937448,67.52053289199999,14.810309652021164,1690812416.0,612952576.0,0.0019383453950125,0.9369728747134308
text,DistilBERT AG News,token_masking,10000,5,38.103517509,689.369661616,1.31642219,0.043635028,728.955667108,13.718255377138634,1801818112.0,612952576.0,0.0018059015786552,0.9456949067299932
