review_budget,selected_baseline,automatic_coverage,baseline_wrong_actions,fuzzyxai_wrong_actions,baseline_error_rate,fuzzyxai_error_rate,baseline_minus_fuzzyxai,ci_lower,ci_upper,holm_adjusted_p
0.05,calibrated_confidence,0.95,244,376,0.0337950138504155,0.0520775623268698,-0.017368421052631578,-0.020657894736842104,-0.014210526315789472,0.017996400719856028
0.1,calibrated_confidence,0.9,153,357,0.0223684210526315,0.0521929824561403,-0.026842105263157896,-0.030657894736842106,-0.023026315789473683,0.017996400719856028
0.2,calibrated_confidence,0.8,72,308,0.0118421052631578,0.0506578947368421,-0.03105263157894737,-0.035263157894736843,-0.026973684210526316,0.017996400719856028
0.3,calibrated_confidence,0.7,37,269,0.0069548872180451,0.050563909774436,-0.030526315789473683,-0.034605263157894736,-0.026578947368421053,0.017996400719856028
0.4,calibrated_confidence,0.6,25,233,0.0054824561403508,0.0510964912280701,-0.02736842105263158,-0.031315789473684214,-0.02368421052631579,0.017996400719856028
