mode_id,repair_success,full_recertification,new_critical_violations
B_LOCAL_STRONG,0.0,0.0,0
B_PAIRWISE_RULES,0.0,0.0,0
B_MLFLOW_QUERY,0.0,0.0,0
B_GREEDY_CROSS_STAGE,0.0,0.0,0
O_FUZZYXAI,1.0,1.0,0
