method,w_p,w_u,w_I,w_Delta,w_R,theta_1,theta_2,theta_3,theta_4
random_search,0.0070769689892803325,0.01801128288612466,0.013320152060842676,0.9430347745300247,0.018556821533727737,0.16324933964580307,0.20976184766892353,0.6522270119712799,0.8709441722417133
random_search,0.024352654697697977,0.03578175968534605,0.011547703603682553,0.0025986543141402574,0.9257192276991332,0.45310950359983115,0.49923356707880917,0.6736908383519178,0.9177960092208322
random_search,0.03331191380585792,0.04825919670571016,0.008835088292320846,0.0005755486823370886,0.9090182525137741,0.3928816315384463,0.5694775576527752,0.5764304117480593,0.6714694884703143
random_search,0.016760882645200207,0.8939850459497112,0.04367603973079044,0.008185544863280093,0.03739248681101812,0.33023071242490865,0.6436212054712718,0.7154330671989805,0.7927406159024635
random_search,0.027952474516161757,0.013586123493008136,0.025446297613900968,0.03971638935369926,0.8932987150232299,0.4396668109647332,0.5536062151654172,0.6404958521593247,0.8318062755616492
random_search,0.017072000113079376,0.8891391675198119,0.05045930226094188,0.012571303859375407,0.0307582262467913,0.13356837941431976,0.3283374654004804,0.7001411448232198,0.8546658945594129
random_search,0.0501602338470481,0.01115682231082769,0.014367005916368943,0.8810217942858695,0.043294143639885686,0.30467154860812495,0.512714675011708,0.5382852599277198,0.6671748168504468
random_search,0.007766475869762194,0.016462132885311214,0.8766171872353137,0.03403033538222155,0.06512386862739138,0.23879045621395506,0.5300973803661011,0.7547505796835787,0.7563698641016122
random_search,0.00787567359872062,0.09446764331076488,0.8650893753446288,0.01805381544412558,0.01451349230176017,0.34102031794559384,0.44345861504476203,0.6892025202621552,0.834220010871354
random_search,0.028782889362156307,0.03728643775078541,0.8822972668580682,0.021107457525005317,0.030525948503984834,0.30781269188457394,0.40818912774974664,0.6885063821768351,0.8595574143935572
random_search,0.005279108073225887,0.8649474550603733,0.08598619714024068,0.023783507268123633,0.020003732458036393,0.12268982898510303,0.5286286111954005,0.607151738670394,0.6708306070311656
random_search,0.8611474644556784,0.01127694164689191,0.010285144706780408,0.024796568598723128,0.09249388059192613,0.37506545925445556,0.48086529174472165,0.4850398804654475,0.5090596652664428
random_search,0.04426077350907623,5.956758507642135e-05,0.0035280964518704843,0.12602607794677043,0.8261254845072065,0.43265217836562986,0.4844515453023148,0.6346327204586808,0.8552507751657407
random_search,0.04320216372802981,0.00016958902268938666,0.8462210541315601,0.030338081748663214,0.08006911136905755,0.16012652798208343,0.38342227077647717,0.5744496243842425,0.7885802029218681
random_search,0.06728922915178158,0.008382116984813665,0.033602455576390036,0.03831487656508096,0.8524113217219337,0.15176168681311503,0.32451280416535633,0.6649685132171284,0.7649957627986536
random_search,0.8550914995836206,0.0214049036831157,0.06097217125796337,0.02809271256857931,0.034438712906720875,0.35084129437034195,0.3973920693131342,0.44823304117608587,0.7609252598553177
random_search,0.04934469070450784,0.8556386889700252,0.022472964715252525,0.032744773020899356,0.03979888258931514,0.20398141667044667,0.2142417283205546,0.3671228545985149,0.7403669383394641
random_search,0.8263965885472856,0.01824047899227179,0.12555321731881317,0.013418973517879209,0.01639074162375014,0.13215450552541314,0.24315960177020557,0.28586783822485906,0.3362560391682924
random_search,0.006665608876752932,0.007729544468152585,0.11853146758114054,0.8235158344024138,0.04355754467153996,0.14261016094109652,0.3356877158469868,0.5601073365579259,0.6763307324866334
random_search,0.057519385379842025,0.004209604299857766,0.8339165540650134,0.04231014323065958,0.06204431302462732,0.3314185056267952,0.4709561176960789,0.6524881163700259,0.8711758551070973
random_search,0.022401339935281785,0.10047815390443475,0.024257465760243152,0.8291227479714278,0.02374029242861239,0.17616062547324016,0.3945812823058799,0.4627339693095127,0.9084314554395446
random_search,0.11437655438309537,0.8129370359354049,0.03039014380201964,0.04208338235835078,0.00021288352112934755,0.380511884804667,0.605202551338504,0.6561242820115877,0.6721139155396687
random_search,0.07211989246723155,0.8287620578270077,0.006396504830061806,0.05894635693949413,0.03377518793620487,0.5389017356357476,0.6632080225356158,0.6932321552015542,0.7550391821198102
random_search,0.02673658994296936,0.019708428146964073,0.07150551085511242,0.048386938188551824,0.8336625328664024,0.17443705468666665,0.417973276716656,0.43865724610342915,0.5248730751536268
random_search,0.01893839750856676,0.7931070858289104,0.0032898439778228676,0.15799456306876253,0.026670109615937472,0.15886139026388607,0.4429270162393341,0.6060334212966624,0.6707394124152122
random_search,0.0034387183853376566,0.0007375920039826266,0.7431979408475109,0.021860345557546408,0.23076540320562233,0.4130639849597933,0.6110481934714913,0.7379434663213092,0.7774582216918843
