pipeline,batch_size,mode,model_ms,explainer_ms,base_ms,fuzzyxai_ms,fuzzyxai_ms_per_object,relative_overhead,root_digest,normalize_ms,prediction_digest_ms,explanation_digest_ms,contract_check_ms,route_build_ms,cut_search_ms,proof_trace_ms,serialization_ms,repetition
tabular_shap,1,online,0.04211,0.124816,0.166926,0.055665,0.055665,0.33347111893893105,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.01034,0.005901,0.000501,0.024787,7e-05,0.004057,0.000121,19
tabular_shap,1,online,0.0418,0.123764,0.165564,0.055555,0.055555,0.335549998792008,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000411,0.010119,0.005801,0.000571,0.025017,7e-05,0.004068,0.00012,20
tabular_shap,1,online,0.040707,0.131739,0.172446,0.064142,0.064142,0.37195411897057634,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.0108,0.005821,0.000511,0.032301,7.1e-05,0.004258,0.00013,21
tabular_shap,1,online,0.049072,0.134575,0.183647,0.068039,0.068039,0.3704879469852489,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.011742,0.006132,0.000581,0.034946,7e-05,0.004038,0.00012,22
tabular_shap,1,online,0.045627,0.138692,0.184319,0.05797,0.05797,0.31450908479321177,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.011301,0.006102,0.000491,0.025428,6e-05,0.004017,0.000121,23
tabular_shap,1,online,0.044314,0.125718,0.170032,0.055996,0.055996,0.3293262444716289,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000391,0.010219,0.005962,0.000511,0.025117,7e-05,0.004108,0.00012,24
tabular_shap,1,online,0.042651,0.122842,0.165493,0.056307,0.056307,0.34023795568392623,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000381,0.01056,0.006091,0.000471,0.024927,7e-05,0.004068,0.00012,25
tabular_shap,1,online,0.051337,0.127061,0.178398,0.05822,0.05822,0.32634895010033743,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000401,0.011141,0.005921,0.000551,0.025408,6.1e-05,0.004298,0.00013,26
tabular_shap,1,online,0.043613,0.122702,0.166315,0.055555,0.055555,0.334034813456393,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000361,0.01047,0.005891,0.000531,0.024687,6e-05,0.004057,0.000131,27
tabular_shap,1,online,0.042421,0.123153,0.165574,0.055665,0.055665,0.3361940884438378,92c2ca788cb2fb49dc7367a9ecec6af38a20a732cb71d1b3edc9ce86cba487b9,0.000371,0.010239,0.005821,0.000471,0.024997,6.1e-05,0.004117,0.000121,28
