comparison,endpoint,n,mean_difference,median_difference,ci_95,bootstrap_p_two_sided,bootstrap_iterations,bootstrap_index_stream_sha256,holm_p
O_GLOBAL_vs_B_ALL,normalized_executable_cost,120,-0.4831510470209903,-0.5881398811053067,"[-0.5192865706633796, -0.44541653003910625]",0.00019998000199980003,10000,613432617404501e483c793f94a4ada3bac15273e1d47cdb84687646db6b0e06,0.0005999400059994001
O_GLOBAL_vs_B_FIRST,normalized_executable_cost,120,-0.4831510470209903,-0.5881398811053067,"[-0.5192865706633796, -0.44541653003910625]",0.00019998000199980003,10000,613432617404501e483c793f94a4ada3bac15273e1d47cdb84687646db6b0e06,0.0005999400059994001
O_GLOBAL_vs_B_GREEDY,normalized_executable_cost,120,-0.07719841438262429,-0.04252763089495559,"[-0.09403145075160929, -0.06120465594003043]",0.00019998000199980003,10000,613432617404501e483c793f94a4ada3bac15273e1d47cdb84687646db6b0e06,0.0005999400059994001
