incident_id,repository_id,split,buggy_commit,environment_hash,route_graph_hash,failing_test_hash,importer_version,contract_family,source_component,benchmark_verification,local_project_execution
django__django-11583,django/django,development,60dc957a825232fdda9138e2f8878b2ca407a7c9,f4a3272fad350141cd927bcfcdcea6996a95c5de3698bc789d9222eab55d47aa,3ed50373f56c34662aafb79916a2435e122b117ec3ba7b8112d7baa2a45ca7ab,c60725b1aa2f0e45fcc4b8ae2c7027801d3987d805341bb4c5d893127f5464da,h10-c5-importer-v1,ARTIFACT_PROVENANCE,dependencies,SWE_BENCH_FAIL_TO_PASS_METADATA,False
django__django-12453,django/django,development,b330b918e979ea39a21d47b61172d112caf432c3,66a106571a43d343a6008617e16d3fa6b149c585b352f85c524c379b2b0a1e0e,5118c88c7d2f38d550d52f443c1a35df71fcd969f71f56c131046e29813fd832,8c0abe13c0fd0c5cb00704cabecdd99840d1e3d180e6bf24f88a115f61388bc9,h10-c5-importer-v1,SERIALIZATION,artifact,SWE_BENCH_FAIL_TO_PASS_METADATA,False
django__django-13925,django/django,development,0c42cdf0d2422f4c080e93594d5d15381d6e955e,d9754de4ec9c221d1c6830c7220a498dc6049eb5dd1fc4b4abedc9e05950551a,5762fac826d30c712ecaa584ee51d76005692ce321c4420a8a2d00655620f9e3,cd44ebbc29f0fa80e0d1a0332013a2767c48a8edaa2e055264f323238e9dc41e,h10-c5-importer-v1,PIPELINE_CONFIGURATION,model,SWE_BENCH_FAIL_TO_PASS_METADATA,False
django__django-16816,django/django,development,191f6a9a4586b5e5f79f4f42f190e7ad4bbacc84,330decc01beab3b657082f092769b7ebd2a643771a9e6b0188178671dc70ce27,16844b00f188135e4b7b367759618070d160cdf4adb5a60f691d460ed172a3fb,eaeedd591568837507d64f6a9c0a2c95bd35322440144a4aa2269c695717b027,h10-c5-importer-v1,ARTIFACT_PROVENANCE,runtime,SWE_BENCH_FAIL_TO_PASS_METADATA,False
matplotlib__matplotlib-23964,matplotlib/matplotlib,development,269c0b94b4fcf8b1135011c1556eac29dc09de15,8e754088b9b769f5b68b9fd11263065be7767de02530f36d40fe52e46e20b964,4676d98e8d0ae9824c765ebe29e4599c2bbea14b1418af55d7952b9cb21c5ec2,4002699e0c371c1b83c5b5794336189864293aea653ed5b8fe62e6ae9529f476,h10-c5-importer-v1,SERIALIZATION,artifact,SWE_BENCH_FAIL_TO_PASS_METADATA,False
matplotlib__matplotlib-24265,matplotlib/matplotlib,development,e148998d9bed9d1b53a91587ad48f9bb43c7737f,8e754088b9b769f5b68b9fd11263065be7767de02530f36d40fe52e46e20b964,bc10f5808c9f6d49a2439e62cf51643d27701a62b4abc77ba196532317738848,f5347ae33a5155c59b8b1e37745c3692c3a07167defe1fc14afd8c65987b4194,h10-c5-importer-v1,DEPENDENCY_VERSION,dependencies,SWE_BENCH_FAIL_TO_PASS_METADATA,False
mwaskom__seaborn-3407,mwaskom/seaborn,development,515286e02be3e4c0ff2ef4addb34a53c4a676ee4,f8b250d0d37313fb80b788fb2d2753766a21f7a567bde805c6e37a2943691d39,801c20cfe84895df3738685b4e7c139a047cc117d73feeb1150287cb5c5fa5e8,922b80c477fbba1078b416642a08a7e5a35b9530abe1323a82ed93f4abb175a6,h10-c5-importer-v1,DATA_CONTRACT,data_schema,SWE_BENCH_FAIL_TO_PASS_METADATA,False
pallets__flask-4992,pallets/flask,held_out,4c288bc97ea371817199908d0d9b12de9dae327e,16f41cda9c5a6477141f055ef6136b5fa0bec55d63265dc2c15b7cf15526b7a8,fcb319133f77878802760332653ad621af4eb758c2af6c181492523622110e1c,15aed152667c200416a8401528027c02f8ddfb8e8816ae5af971b6a8f3990495,h10-c5-importer-v1,ARTIFACT_PROVENANCE,configuration,SWE_BENCH_FAIL_TO_PASS_METADATA,False
pydata__xarray-4094,pydata/xarray,held_out,a64cf2d5476e7bbda099b34c40b7be1880dbd39a,dc756937a3c270d4500fbc8114d540a04944456d81564f61e0855b93eedc999d,24366ab4bf9a5d746016cb1fb42d801a964f0e76371a0faec867aacbf0643fde,77e578bc22bb976fd2ab5a7073a7575115b8f50344601f2a738cf624b7029c0b,h10-c5-importer-v1,DATA_CONTRACT,data_schema,SWE_BENCH_FAIL_TO_PASS_METADATA,False
pydata__xarray-4493,pydata/xarray,held_out,a5f53e203c52a7605d5db799864046471115d04f,dc756937a3c270d4500fbc8114d540a04944456d81564f61e0855b93eedc999d,6078fdd6a70dda3fe01d99015c10537ee36f78a17eeb54eed8bb0f1a37d7461e,0485a64c5f25e7ec369faab31fc13bf9e1197b3c7a36b7fa893372fbdab2712a,h10-c5-importer-v1,DATA_CONTRACT,data_schema,SWE_BENCH_FAIL_TO_PASS_METADATA,False
