repository_id,method,incident_count,source_and_contract_localization_success,false_localization_rate,full_recertification_success
pallets/flask,B_TRACE,1,0.0,1.0,0.0
pallets/flask,B_RULE,1,1.0,0.0,1.0
pallets/flask,B_GREEDY,1,1.0,0.0,1.0
pallets/flask,O_ROUTE,1,1.0,0.0,1.0
pydata/xarray,B_TRACE,2,0.0,1.0,0.0
pydata/xarray,B_RULE,2,0.0,1.0,0.0
pydata/xarray,B_GREEDY,2,0.5,0.5,0.5
pydata/xarray,O_ROUTE,2,0.5,0.5,0.5
pylint-dev/pylint,B_TRACE,4,0.0,1.0,0.0
pylint-dev/pylint,B_RULE,4,0.0,1.0,0.0
pylint-dev/pylint,B_GREEDY,4,0.75,0.25,0.75
pylint-dev/pylint,O_ROUTE,4,0.5,0.5,0.5
pytest-dev/pytest,B_TRACE,3,0.0,1.0,0.0
pytest-dev/pytest,B_RULE,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
pytest-dev/pytest,B_GREEDY,3,1.0,0.0,1.0
pytest-dev/pytest,O_ROUTE,3,1.0,0.0,1.0
scikit-learn/scikit-learn,B_TRACE,4,0.0,1.0,0.0
scikit-learn/scikit-learn,B_RULE,4,0.0,1.0,0.0
scikit-learn/scikit-learn,B_GREEDY,4,0.5,0.5,0.5
scikit-learn/scikit-learn,O_ROUTE,4,0.75,0.25,0.75
sphinx-doc/sphinx,B_TRACE,1,0.0,1.0,0.0
sphinx-doc/sphinx,B_RULE,1,0.0,1.0,0.0
sphinx-doc/sphinx,B_GREEDY,1,1.0,0.0,1.0
sphinx-doc/sphinx,O_ROUTE,1,1.0,0.0,1.0
sympy/sympy,B_TRACE,4,0.0,1.0,0.0
sympy/sympy,B_RULE,4,0.25,0.75,0.25
sympy/sympy,B_GREEDY,4,0.75,0.25,0.75
sympy/sympy,O_ROUTE,4,0.75,0.25,0.75
