threshold,coverage,risk
0.0,0.31723779854620976,0.0
0.3420780532142402,0.35669781931464173,0.0
0.6841561064284803,0.5560747663551402,0.0
1.0262341596427205,0.6609553478712358,0.0
1.3683122128569607,0.8400830737279336,0.0
1.710390266071201,0.9065420560747663,0.0
2.052468319285441,0.9247144340602285,0.0
2.3945463724996814,0.9299065420560748,0.0
2.7366244257139214,0.9299065420560748,0.0
3.0787024789281614,0.9299065420560748,0.0
3.420780532142402,0.9299065420560748,0.0
3.762858585356642,0.9299065420560748,0.0
4.104936638570882,0.9299065420560748,0.0
4.447014691785122,0.9402907580477674,0.0
4.789092744999363,0.9475597092419522,0.0
5.131170798213603,0.9475597092419522,0.0
5.473248851427843,0.9475597092419522,0.0
5.815326904642083,0.9475597092419522,0.0
6.157404957856323,0.9475597092419522,0.0
6.499483011070564,0.9475597092419522,0.0
6.841561064284804,0.9475597092419522,0.0
7.183639117499044,0.9475597092419522,0.0
7.525717170713284,0.9475597092419522,0.0
7.867795223927524,0.9475597092419522,0.0
8.209873277141764,0.9475597092419522,0.0
8.551951330356005,0.9475597092419522,0.0
8.894029383570244,0.9475597092419522,0.0
9.236107436784485,0.9475597092419522,0.0
9.578185489998726,0.9475597092419522,0.0
9.920263543212965,1.0,0.0
